host_ip,rssi_dbm,dist_m
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-75.00,4.000
172.20.10.3,-75.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-74.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-70.00,4.000
172.20.10.3,-70.00,4.000
172.20.10.3,-70.00,4.000
172.20.10.3,-70.00,4.000
172.20.10.3,-70.00,4.000
172.20.10.3,-70.00,4.000
172.20.10.3,-70.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-71.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-73.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
172.20.10.3,-72.00,4.000
